episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
150,250.5659919977188,61.61431529739639,271,6712,4.011312905998441
133,201.46204936504364,82.11731489188969,272,6845,4.154094705782633
211,366.3406460285187,68.6809123295825,273,7056,4.11826335104108
147,277.15865433216095,46.9363822612213,274,7203,3.9647286784070292
121,240.01064026355743,49.9404754897696,275,7324,4.155880889105086
118,233.72420358657837,66.6060748436139,276,7442,4.1943287749759
119,230.07290959358215,70.53921719110804,277,7561,4.230260610869446
113,202.4253809452057,60.9447537753731,278,7674,3.988755554653748
123,235.32599139213562,64.2374423763249,279,7797,4.181780282017844
122,217.29587244987488,57.16213818639517,280,7919,4.061222982480755
131,237.84458124637604,58.96376593224704,281,8050,4.181929861079837
142,245.8541740179062,81.06870969291776,282,8192,4.020694977846627
198,338.43303602933884,71.86800865427358,283,8390,4.096751774317961
194,332.3915721178055,85.93609638378257,284,8584,4.227366033634134
187,326.3580106496811,84.33859858382493,285,8771,3.8872546024315886
164,300.0343018770218,83.047518303385,286,8935,4.240207216433933
170,320.2704256772995,72.08231954957591,287,9105,4.091489255314215
114,261.18715929985046,171.71113158157095,389,38952,4.046546656094233
116,265.55529791116714,161.24229547614232,390,39068,4.220242227212221
117,255.95459014177322,140.87182101560757,391,39185,4.005096301694701
120,245.17731088399887,116.43840944254771,392,39305,4.069107399008716
123,232.75835692882538,106.16954078571871,393,39428,4.067788662241979
112,234.95905023813248,123.12805974762887,394,39540,4.133120058370213
112,220.55360954999924,111.2934575905092,395,39652,4.008945295689704
141,245.6687735915184,88.12564538931474,396,39793,4.074753843324897
116,236.32475519180298,122.82811975525692,397,39909,4.047289085002
114,236.09573352336884,114.91137796919793,398,40023,5.641480672678307
110,233.01101338863373,128.72639999724925,399,40133,4.153117533421064
110,230.83048111200333,127.38351998757571,400,40243,4.0476630550262955
112,253.8153970837593,163.23594488482922,401,40355,4.093507517639406
109,242.95762705802917,139.58705787267536,402,40464,4.089414019532065
108,234.43446803092957,131.59811236709356,403,40572,4.178791282063161
108,235.39723926782608,137.1452783551067,404,40680,3.9898595337450806
110,244.09840381145477,133.3295721798204,405,40790,3.8756410422260865
114,250.6454380750656,131.56378234410658,406,40904,4.341690254608117
115,257.7565989494324,141.7143856533803,407,41019,4.059436186687977
118,266.22398060560226,152.5425374750048,408,41137,4.133640099138969
115,260.2162662744522,163.80815180251375,409,41252,4.1357622848578375
118,269.60919976234436,163.66016052663326,410,41370,3.9942519583645
117,267.48209112882614,164.40762534318492,411,41487,4.13741245696673
116,267.11103773117065,171.09446727088653,412,41603,4.138188593020894
119,274.8578694462776,180.62160400906578,413,41722,3.9945185252031714
118,270.6074150800705,163.42356602102518,414,41840,4.037062271975721
